"carrera","carrera_siglas","tipo","cohorte","cohorte_anio","linea_formativa","propuesta","ifda_sigla","ifda","prematriculados","inician_curso","aprueban_MI","cursantes_T3"
"Especialización Docente de Nivel Superior en la Enseñanza de Ciencias Naturales en la Educación Primaria","NATURALES_ESP","Trayecto","Junio 2017","2017","Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza de Ciencias Naturales en la Educación Primaria","ISCAL","Instituto Superior Carlos Alberto Leguizamón","1","0","1","1"
"Especialización Docente de Nivel Superior en la Enseñanza de Ciencias Naturales en la Educación Primaria","NATURALES_ESP","Trayecto","Febrero 2018","2018","Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza de Ciencias Naturales en la Educación Primaria","ISCAL","Instituto Superior Carlos Alberto Leguizamón","2","0","2","2"
"Especialización Docente de Nivel Superior en la Enseñanza de Ciencias Naturales en la Educación Primaria","NATURALES_ESP","Trayecto","Mayo 2019","2019","Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza de Ciencias Naturales en la Educación Primaria","ISCAL","Instituto Superior Carlos Alberto Leguizamón","11","0","11","11"
"Especialización Docente de Nivel Superior en la Enseñanza de Matemática en la Educación Primaria","MATEMATICA_ESP","Trayecto","Junio 2017","2017","Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza de Matemática en la Educación Primaria","ISCAL","Instituto Superior Carlos Alberto Leguizamón","1","0","1","1"
"Especialización Docente de Nivel Superior en la Enseñanza de Matemática en la Educación Primaria","MATEMATICA_ESP","Trayecto","Febrero 2018","2018","Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza de Matemática en la Educación Primaria","INESCER","Instituto de Educación Superior del Centro de La República ""Dr. Angel Diego Márquez""","1","0","1","1"
"Especialización Docente de Nivel Superior en la Enseñanza de Matemática en la Educación Primaria","MATEMATICA_ESP","Trayecto","Febrero 2018","2018","Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza de Matemática en la Educación Primaria","ISCAL","Instituto Superior Carlos Alberto Leguizamón","2","0","2","2"
"Especialización Docente de Nivel Superior en la Enseñanza de Matemática en la Educación Primaria","MATEMATICA_ESP","Trayecto","Mayo 2019","2019","Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza de Matemática en la Educación Primaria","ISCAL","Instituto Superior Carlos Alberto Leguizamón","22","0","22","22"
"Especialización Docente de Nivel Superior en la Enseñanza de Lengua y Literatura en la Educación Primaria","LENGUA_ESP","Trayecto","Junio 2017","2017","Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza de Lengua y Literatura en la Educación Primaria","URQUIZA","Escuela Normal Superior Justo José de Urquiza","2","0","2","2"
"Especialización Docente de Nivel Superior en la Enseñanza de Lengua y Literatura en la Educación Primaria","LENGUA_ESP","Trayecto","Junio 2017","2017","Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza de Lengua y Literatura en la Educación Primaria","INESCER","Instituto de Educación Superior del Centro de La República ""Dr. Angel Diego Márquez""","2","0","2","1"
"Especialización Docente de Nivel Superior en la Enseñanza de Lengua y Literatura en la Educación Primaria","LENGUA_ESP","Trayecto","Junio 2017","2017","Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza de Lengua y Literatura en la Educación Primaria","ENSCARBO","Escuela Normal Superior Dr. Alejandro Carbó","5","0","5","5"
"Especialización Docente de Nivel Superior en la Enseñanza de Lengua y Literatura en la Educación Primaria","LENGUA_ESP","Trayecto","Febrero 2018","2018","Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza de Lengua y Literatura en la Educación Primaria","URQUIZA","Escuela Normal Superior Justo José de Urquiza","9","0","9","9"
"Especialización Docente de Nivel Superior en la Enseñanza de Lengua y Literatura en la Educación Primaria","LENGUA_ESP","Trayecto","Febrero 2018","2018","Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza de Lengua y Literatura en la Educación Primaria","INESCER","Instituto de Educación Superior del Centro de La República ""Dr. Angel Diego Márquez""","4","0","4","3"
"Especialización Docente de Nivel Superior en la Enseñanza de Lengua y Literatura en la Educación Primaria","LENGUA_ESP","Trayecto","Febrero 2018","2018","Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza de Lengua y Literatura en la Educación Primaria","ENSCARBO","Escuela Normal Superior Dr. Alejandro Carbó","9","0","9","8"
"Especialización Docente de Nivel Superior en la Enseñanza de Lengua y Literatura en la Educación Primaria","LENGUA_ESP","Trayecto","Mayo 2019","2019","Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza de Lengua y Literatura en la Educación Primaria","ENSCARBO","Escuela Normal Superior Dr. Alejandro Carbó","47","0","47","47"
"Actualización Académica en Educación de Jóvenes y Adultos","ADULTOS_ACT","Trayecto","Junio 2017","2017","Formación de docentes de las modalidades del sistema educativo","Educación de Jóvenes y Adultos","INESCER","Instituto de Educación Superior del Centro de La República ""Dr. Angel Diego Márquez""","1","0","1","0"
