"anio","carrera","carrera_siglas","tipo","cohorte","cohorte_anio","linea_formativa","propuesta","ifda_sigla","ifda","prematriculados","inician_curso","aprueban_MI","cursantes_T3"
"2020","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria","GESTIONPRI_ESP","Trayecto","Febrero 2018","2018","Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","URQUIZA","Escuela Normal Superior Justo José de Urquiza","37","0","37","37"
"2020","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria","GESTIONPRI_ESP","Trayecto","Febrero 2018","2018","Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","CARENA","Instituto Superior Dr. Carlos María Carena","19","0","19","19"
"2020","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria","GESTIONPRI_ESP","Trayecto","Febrero 2018","2018","Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","SANMARTIN","Colegio Superior San Martín","24","0","24","23"
"2020","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria","GESTIONPRI_ESP","Trayecto","Febrero 2018","2018","Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","INESCER","Instituto de Educación Superior del Centro de La República ""Dr. Angel Diego Márquez""","48","0","48","46"
"2020","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria","GESTIONPRI_ESP","Trayecto","Febrero 2018","2018","Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","HOUSSAY","Instituto Superior Dr. Bernardo Houssay","14","0","14","14"
"2020","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria","GESTIONPRI_ESP","Trayecto","Febrero 2018","2018","Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","ENSCARBO","Escuela Normal Superior Dr. Alejandro Carbó","211","0","211","203"
"2020","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria","GESTIONPRI_ESP","Trayecto","Febrero 2018","2018","Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","LEFEBVRE","Instituto de Enseñanza Superior Eduardo Lefebvre de Laboulaye","6","0","6","6"
"2020","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria","GESTIONPRI_ESP","Trayecto","Octubre 2019","2019","Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","IESSB","Instituto de Enseñanza Superior Simón Bolívar","40","0","39","35"
"2020","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Secundaria","GESTIONSEC_ESP","Trayecto","Junio 2017","2017","Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","URQUIZA","Escuela Normal Superior Justo José de Urquiza","16","0","16","11"
"2020","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Secundaria","GESTIONSEC_ESP","Trayecto","Junio 2017","2017","Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","CARENA","Instituto Superior Dr. Carlos María Carena","3","0","3","3"
"2020","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Secundaria","GESTIONSEC_ESP","Trayecto","Junio 2017","2017","Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","IESSB","Instituto de Enseñanza Superior Simón Bolívar","77","0","77","72"
"2020","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Secundaria","GESTIONSEC_ESP","Trayecto","Junio 2017","2017","Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","SANMARTIN","Colegio Superior San Martín","11","0","11","8"
"2020","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Secundaria","GESTIONSEC_ESP","Trayecto","Junio 2017","2017","Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","INESCER","Instituto de Educación Superior del Centro de La República ""Dr. Angel Diego Márquez""","23","0","23","23"
"2020","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Secundaria","GESTIONSEC_ESP","Trayecto","Junio 2017","2017","Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","HOUSSAY","Instituto Superior Dr. Bernardo Houssay","3","0","3","2"
"2020","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Secundaria","GESTIONSEC_ESP","Trayecto","Junio 2017","2017","Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","LEFEBVRE","Instituto de Enseñanza Superior Eduardo Lefebvre de Laboulaye","6","0","6","5"
"2020","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Secundaria","GESTIONSEC_ESP","Trayecto","Febrero 2018","2018","Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","URQUIZA","Escuela Normal Superior Justo José de Urquiza","15","0","15","15"
"2020","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Secundaria","GESTIONSEC_ESP","Trayecto","Febrero 2018","2018","Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","CARENA","Instituto Superior Dr. Carlos María Carena","16","0","16","15"
"2020","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Secundaria","GESTIONSEC_ESP","Trayecto","Febrero 2018","2018","Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","SANMARTIN","Colegio Superior San Martín","12","0","12","12"
"2020","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Secundaria","GESTIONSEC_ESP","Trayecto","Febrero 2018","2018","Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","INESCER","Instituto de Educación Superior del Centro de La República ""Dr. Angel Diego Márquez""","28","0","28","27"
"2020","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Secundaria","GESTIONSEC_ESP","Trayecto","Febrero 2018","2018","Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","HOUSSAY","Instituto Superior Dr. Bernardo Houssay","11","0","11","11"
"2020","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Secundaria","GESTIONSEC_ESP","Trayecto","Febrero 2018","2018","Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","ENSCARBO","Escuela Normal Superior Dr. Alejandro Carbó","88","0","88","85"
"2020","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Secundaria","GESTIONSEC_ESP","Trayecto","Febrero 2018","2018","Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","LEFEBVRE","Instituto de Enseñanza Superior Eduardo Lefebvre de Laboulaye","9","0","9","9"
"2020","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Secundaria","GESTIONSEC_ESP","Trayecto","Octubre 2019","2019","Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","IESSB","Instituto de Enseñanza Superior Simón Bolívar","25","0","25","23"
"2020","Especialización Docente de Nivel Superior en la Enseñanza de Ciencias Sociales en la Educación Primaria","SOCIALES_ESP","Trayecto","Junio 2017","2017","Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza de Ciencias Sociales en la Educación Primaria","ENSCARBO","Escuela Normal Superior Dr. Alejandro Carbó","6","0","6","5"
"2020","Especialización Docente de Nivel Superior en la Enseñanza de Ciencias Sociales en la Educación Primaria","SOCIALES_ESP","Trayecto","Febrero 2018","2018","Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza de Ciencias Sociales en la Educación Primaria","ENSCARBO","Escuela Normal Superior Dr. Alejandro Carbó","11","0","11","8"
"2020","Especialización Docente de Nivel Superior en la Enseñanza de Ciencias Sociales en la Educación Primaria","SOCIALES_ESP","Trayecto","Mayo 2019","2019","Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza de Ciencias Sociales en la Educación Primaria","ENSCARBO","Escuela Normal Superior Dr. Alejandro Carbó","28","0","28","27"
