idcarrera,idcohorte,linea_formativa,propuesta,carrera,carrera_siglas,tipo,cohorte_anio,anio,idsede,ifda,ifda_siglas,departamento,iddepartamento,inscriptos,aceptados,aprobados_mi,inician_cursada_seminario,cursantes_t3,cursando_hoy,egresados_intermedio,egresados,aprobados_mi2,tiene_egresados,tiene_egresados_inter,ingresantes
5,5,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Secundaria,GESTIONSEC,Trayecto,2016,2017,1,Escuela Normal Superior Justo José de Urquiza,URQUIZA,Río Cuarto,13,,,,0,48,0,0,22,0,1,0,0
5,5,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Secundaria,GESTIONSEC,Trayecto,2016,2020,3,Instituto de Enseñanza Superior Simón Bolívar,IESSB,Capital,26,,,,0,6,0,0,5,0,1,0,0
5,5,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Secundaria,GESTIONSEC,Trayecto,2016,2018,6,Instituto Superior Dr. Bernardo Houssay,HOUSSAY,Punilla,12,,,,0,1,0,0,1,0,1,0,0
1,1,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial,GESTIONINI,Trayecto,2016,2016,1,Escuela Normal Superior Justo José de Urquiza,URQUIZA,Río Cuarto,13,57,31,28,0,28,0,0,0,0,1,0,28
1,1,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial,GESTIONINI,Trayecto,2016,2016,4,Colegio Superior San Martín,SANMARTIN,San Justo,19,22,13,11,0,11,0,0,0,0,1,0,11
1,1,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial,GESTIONINI,Trayecto,2016,2017,4,Colegio Superior San Martín,SANMARTIN,San Justo,19,,,,0,11,0,0,5,0,1,0,0
1,1,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial,GESTIONINI,Trayecto,2016,2018,4,Colegio Superior San Martín,SANMARTIN,San Justo,19,,,,0,1,0,0,1,0,1,0,0
4,4,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,GESTIONPRI,Trayecto,2016,2022,5,"Instituto de Educación Superior del Centro de La República ""Dr. Angel Diego Márquez""",INESCER,General San Martín,5,,,,0,0,0,0,0,0,1,0,0
5,5,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Secundaria,GESTIONSEC,Trayecto,2016,2018,1,Escuela Normal Superior Justo José de Urquiza,URQUIZA,Río Cuarto,13,,,,0,13,0,0,2,0,1,0,0
5,5,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Secundaria,GESTIONSEC,Trayecto,2016,2020,1,Escuela Normal Superior Justo José de Urquiza,URQUIZA,Río Cuarto,13,,,,0,1,0,0,1,0,1,0,0
