"linea_formativa","propuesta","carrera_siglas","tipo","egresados","anio"
"Formación de directores y supervisores","Diplomatura Superior en Conducción y Gestión Educativa ","GESTIONSEC_TDIP","Trayecto","1","2021"
"Formación de estudiantes de institutos de formación docente y docentes noveles",NULL,"SEMINARIOPENSACOM","Seminario","57","2021"
"Formación de estudiantes de institutos de formación docente y docentes noveles",NULL,"SEMINARIONARRAHIPER","Seminario","74","2021"
"Formación de estudiantes de institutos de formación docente y docentes noveles",NULL,"SEMINARIOREDDIGIYSOC","Seminario","163","2021"
"Formación de estudiantes de institutos de formación docente y docentes noveles",NULL,"SEMINARIODATIEXP","Seminario","109","2021"
"Formación de docentes en el área de medios y tecnologías","Educación y Medios Digitales","EDUYMEDIOS19","Trayecto","8","2021"
"Formación de docentes del nivel de educación secundaria","Trayectorias Escolares y Enseñanza en el PIT","FORM_PIT","Formación pedagógica (postítulo)","41","2021"
"Formación para docentes de todos los niveles del sistema educativo",NULL,"ATENEOSOCIALES1","Seminario","67","2021"
"Formación de docentes en el área de medios y tecnologías","Enseñar con Herramientas Digitales","HERRADIGI_ACT","Trayecto","330","2021"
"Formación de docentes en el área de medios y tecnologías","Enseñar con Herramientas Digitales","FORM_HERRADIGI","Formación pedagógica (postítulo)","45","2021"
"Formación de docentes del nivel de educación inicial y primario",NULL,"ATENEOMATEMATICA1","Seminario","71","2021"
"Formación docente complementaria",NULL,"SEMINARIOESI","Seminario","125","2021"
"Formación de directores y supervisores",NULL,"CONTINUIDADPEDAGOGICA","Seminario","503","2021"
"Formación de docentes de las modalidades del sistema educativo",NULL,"SEMINARIOSECUNDARIOJYA","Seminario","299","2021"
"Formación de docentes del nivel de educación inicial y primario",NULL,"ATENEONATURALES1","Seminario","54","2021"
"Formación de docentes en el área de medios y tecnologías",NULL,"SEMINARIOINTROPC","Seminario","45","2021"
"Formación para docentes de todos los niveles del sistema educativo",NULL,"ATENEOLENGUA1","Seminario","125","2021"
"Formación para docentes de todos los niveles del sistema educativo",NULL,"TALLERLAB","Seminario","42","2021"
